objid,precision,recall
1,0.5817938293082521,0.8953756201186487
2,0.8706629550092111,0.9083203276507521
3,0.8324419449628015,0.9121057683169115
4,0.7536232980828719,0.8839430719977271
5,0.6678172820103013,0.8216144139528061
6,0.9028008752735218,0.7069127725856711
7,0.485513378151838,0.9216808813534937
8,0.9452733352028476,0.8934271167072104
9,0.9504222369559118,0.8818260958137569
10,0.9395016522479352,0.9015226878139724
11,0.3155068648417055,0.9235197351460318
12,0.5513857212771526,0.34730041544709356
13,0.9789577126293343,0.919638446081507
14,0.7657213342130701,0.8374555597827744
15,0.49139598338775203,0.9838804008755149
16,0.940155258348838,0.9018626788991192
17,0.8466226786154266,0.9210071354250203
18,0.9103660392325406,0.9227998594046349
19,0.6753048753131939,0.7153175236304681
20,0.9308768106365641,0.9183469221180278
21,0.9933438905986807,0.8643830039073462
22,0.9144489622491628,0.765651545539561
23,0.5265513525472147,0.9999981742113847
24,0.8964943997130909,0.9344872883313647
25,0.8413607029598392,0.407502890220147
26,0.5612309776811767,0.9291818704806207
27,0.8921034503761726,0.761783729518224
28,0.8626310623201537,0.8511604406856306
29,0.8718530956094349,0.8382587074290139
30,0.7733094136914919,0.8023018337840634
31,0.5930564409330296,0.9510569891662748
32,0.9687846105305827,0.9488138279964957
33,0.5544701496571635,0.9818657225810257
34,0.9408258979596777,0.8796252262122473
35,0.8942143717202383,0.9642962027989546
36,0.900403233417602,0.8540999211195034
37,0.7845773539685604,0.7936274965478854
38,0.9786155160881306,0.8473906634329869
39,0.9350288506675407,0.898187779484663
40,0.8086385790043101,0.3802007254912468
41,0.5103583735953998,0.6909845605357304
42,0.9037588377831641,0.8342787340862344
43,0.5365417709635397,0.8682495555804912
44,0.5049217992137841,0.7999357880694273
45,0.4364790341762137,0.7574789323789832
46,0.3341849176405058,0.8117991054421705
47,0.8039824450980452,0.8421530251202686
